	"Overall"		"var"	   "Variables"	"Resample"
"17695"	7.36454936070127	"Nhits_career"	6	"Fold070"

"17943"	11.978802033867		"Nputouts"	6	"Fold071"
"17944"	9.52420536505096	"Nhits"		6	"Fold071"
"17945"	8.47821158527888	"Nrunsbatted"	6	"Fold071"
"17946"	8.17905914081162	"Nbat_career"	6	"Fold071"
"17947"	8.11906051471301	"Nwalks"	6	"Fold071"
"17948"	7.97858059160877	"Nhits_career"	6	"Fold071"

"18196"	11.158509357348		"Nputouts"	6	"Fold072"
"18197"	9.03729644356152	"Nwalks"	6	"Fold072"
"18198"	8.08062376551768	"Nhits"		6	"Fold072"
"18199"	8.0512467914528		"Nhits_career"	6	"Fold072"
"18200"	7.70732556455032	"Nrunsbatted"	6	"Fold072"
"18201"	7.43272508396352	"Nrunsbatted_career"	6	"Fold072"

"18449"	11.6807061918575	"Nwalks"	6	"Fold073"
"18450"	10.0997497569871	"Nputouts"	6	"Fold073"
"18451"	8.98504682592896	"Nbat_career"	6	"Fold073"
"18452"	8.95455571086324	"Nhits"		6	"Fold073"
"18453"	8.87532666260786	"Nhits_career"	6	"Fold073"
"18454"	7.11487630379228	"Nrunsbatted"	6	"Fold073"

"18702"	9.20129033816835	"Nbat_career"	6	"Fold074"
"18703"	9.08998156293582	"Nputouts"	6	"Fold074"
"18704"	8.91037315908892	"Nhits"		6	"Fold074"
"18705"	8.09238672587933	"Nhits_career"	6	"Fold074"
"18706"	7.78236164898243	"Nruns_career"	6	"Fold074"
"18707"	7.62862711205554	"Nwalks"	6	"Fold074"

"18955"	10.3636461353746	"Nputouts"	6	"Fold075"
"18956"	9.80988522032963	"Nhits"		6	"Fold075"
"18957"	7.93544336184696	"Nwalks"	6	"Fold075"
"18958"	7.86803049725588	"Nbat_career"	6	"Fold075"
"18959"	7.65052731605692	"Nrunsbatted"	6	"Fold075"
"18960"	7.17470130361712	"Nhits_career"	6	"Fold075"

